Name,Location,Industries,Stages,Sectors
NUVORIA CULINARY VENTURES LLP,"Thrissur, Kerala, India",Food & Beverages,EarlyTraction,Food Processing
ADAL E-TECH MOBILITY PRIVATE LIMITED,"Sawai Madhopur, Rajasthan, India",Transportation & Storage,Prototype,Passenger Transportation Services
ZARIHO INDUSTRY PRIVATE LIMITED,"Raipur, Chhattisgarh, India",Food & Beverages,Validation,Food Processing
SUNSHOTT MEDIA PRIVATE LIMITED,"Bengaluru Urban, Karnataka, India",Retail,Scaling,Others
VAIDHYA ORGANISATION PRIVATE LIMITED,"Mandsaur, Madhya Pradesh, India",Human Resources,Validation,Recruitment Jobs
SHANTIRATAN INDUSTRY,"Dhamtari, Chhattisgarh, India",Renewable Energy,Prototype,Others
PURE GRAIN ORGANICS PRIVATE LIMITED,"Raipur, Chhattisgarh, India",Food & Beverages,Prototype,Food Processing
WEBTHRIVE DIGITAL VENTURES,"Meerut, Uttar Pradesh, India",Advertising,Validation,AdTech
BONUMEDESIGNS LLP,"Mumbai Suburban, Maharashtra, India",AI,EarlyTraction,Machine Learning
NUTRIAITECHNOLOGIES PRIVATE LIMITED,"Guntur, Andhra Pradesh, India",Healthcare & Lifesciences,Validation,Healthcare Technology
ATRI CONSTRUCTION,"Moradabad, Uttar Pradesh, India",Construction,Scaling,Construction & Engineering
HEAOX WELLNESS LLP,"Ahmedabad, Gujarat, India",Healthcare & Lifesciences,Validation,Healthcare Technology
STAYVIA HOSPITALITY PRIVATE LIMITED,"North West Delhi, Delhi, India",Travel & Tourism,Scaling,Hospitality
STARLET GLOBALCARE INDIA PRIVATE LIMITED,"Hyderabad, Telangana, India",Healthcare & Lifesciences,Validation,Healthcare Services
STUDIO PULSE LLP,"Thane, Maharashtra, India",IT Services,Validation,IT Consulting
ASTER INDUSTRIES PRIVATE LIMITED,"Ahmedabad, Gujarat, India",Renewable Energy,Validation,Manufacture of Electrical Equipment
M/S.HARI TECHNOLOGIES INDIA,"Bhubaneswar, Odisha, India",IT Services,Validation,Application Development
NATURE-DETOX OVERSEAS LLP,"Bhopal, Madhya Pradesh, India",Social Impact,EarlyTraction,Others
SRI MADHUSUDAN VENKATESH INFRASTRUCTURE LLP,"Purulia, West Bengal, India",Waste Management,Prototype,Others
AXELNOVA LABS LLP,"Gurugram, Haryana, India",AI,EarlyTraction,Others
EcomBuddha,"Bengaluru, Karnataka, India",Retail,Validation,Retail Technology
POWERFLOW SOLUTIONS,"Allahabad, Uttar Pradesh, India",Non- Renewable Energy,Prototype,Oil & Gas Transportation Services
BASOTRA INFRATECH PRIVATE LIMITED,"North 24 Parganas, West Bengal, India",Construction,Prototype,Construction & Engineering
INNODATATICS SOLUTIONS PRIVATE LIMITED,"Hyderabad, Telangana, India",AI,Validation,Machine Learning
SUSTAINEXUS ADVISORS PRIVATE LIMITED,"Beed, Maharashtra, India",Professional & Commercial Services,Prototype,Environmental Services & Equipment
MAVENXPRESS INDIA FOUNDATION,"Muzaffarpur, Bihar, India",Agriculture,Prototype,Agri-Tech
PRIDEGEEK ENTERPRISE PRIVATE LIMITED,"Nagpur, Maharashtra, India",Technology Hardware,Validation,Electronics
SMART CODE JUNCTION INFINITY PRIVATE LIMITED,"Ballia, Uttar Pradesh, India",IT Services,EarlyTraction,Product Development
NIEMAH FOOD PRODUCTS,"Wayanad, Kerala, India",Food & Beverages,Scaling,Others
FLUENCIQ TECHNOLOGIES PRIVATE LIMITED,"Bhavnagar, Gujarat, India",AI,Validation,NLP
CELESTIAL MANPOWER SERVICES,"East Delhi, Delhi, India",Professional & Commercial Services,Prototype,Employment Services
CIRCULAR LIVING PRIVATE LIMITED,"Bengaluru, Karnataka, India",Waste Management,Validation,Others
FYLENTRA EPC PRIVATE LIMITED,"Gurugram, Haryana, India",Renewable Energy,Prototype,Renewable Solar Energy
S.K.S TRANSPORT,"Namakkal, Tamil Nadu, India",Logistics,Prototype,Others
LYFTRR NETWORKS PRIVATE LIMITED,"Gautam Buddha Nagar, Uttar Pradesh, India",Professional & Commercial Services,Validation,Professional Information Services
SHRUSUN EVENTS AND MEDIA PRIVATE LIMITED,"Jaipur, Rajasthan, India",Events,Prototype,Event Management
NEOHORIZON ANALYTICS PRIVATE LIMITED,"Madurai, Tamil Nadu, India",AI,EarlyTraction,Others
SH SANA ENTERPRISES PRIVATE LIMITED,"Pune, Maharashtra, India",Automotive,Validation,Others
RENURJA ENVIRO SOLUTIONS PRIVATE LIMITED,"Bareilly, Uttar Pradesh, India",Renewable Energy,Validation,Others
ABLE ENTERPRISE,"Mehsana, Gujarat, India",Professional & Commercial Services,EarlyTraction,Employment Services
SOLIQUE GLOBAL TECHNOLOGIES PRIVATE LIMITED,"Chennai, Tamil Nadu, India",AI,Prototype,Others
INDUSGRID SOLUTIONS (OPC) PRIVATE LIMITED,"East Singhbhum, Jharkhand, India",Professional & Commercial Services,Validation,Business Support Services
ASWATH POLY INDUSTRIES,"Tiruppur, Tamil Nadu, India",Textiles & Apparel,EarlyTraction,Apparel & Accessories
LOSPACE INNOVATION PRIVATE LIMITED,"Pune, Maharashtra, India",Social Network,EarlyTraction,Others
AYURVA,"Thiruvananthapuram, Kerala, India",Healthcare & Lifesciences,Prototype,Others
MANDRIX INNOVATIONS PRIVATE LIMITED,"Udaipur, Rajasthan, India",AR VR (Augmented + Virtual Reality),Validation,Others
SEALEAD EXPRESS SOLUTION PRIVATE LIMITED,"Thane, Maharashtra, India",Logistics,Scaling,Others
ARIYEN TECH,"Tiruchirappalli, Tamil Nadu, India",Construction,Prototype,Construction & Engineering
WELL INFRA AND CONSTRUCTION,"Motihari, Bihar, India",Construction,Prototype,Construction & Engineering
ENTBYSYS PRIVATE LIMITED,"Tamluk, West Bengal, India",IT Services,Validation,IT Consulting
TECHIEHUB,"Coimbatore, Tamil Nadu, India",IT Services,EarlyTraction,IT Consulting
TREND PULSE LLP,"Jhajjar, Haryana, India",Design,Prototype,Others
MAYOWISH EDU PRIVATE LIMITED,"Jaipur, Rajasthan, India",Agriculture,EarlyTraction,Agri-Tech
KEENRAY ENERGIES PRIVATE LIMITED,"Amravati, Maharashtra, India",Healthcare & Lifesciences,Scaling,Health & Wellness
INDEEVARAM BIOTECH LLP,"Thiruvananthapuram, Kerala, India",Agriculture,EarlyTraction,Horticulture
MEB ENERGY LLP,"Surat, Gujarat, India",Automotive,EarlyTraction,Others
DHARNIDHAR ENTERPRISE,"Ahmedabad, Gujarat, India",Professional & Commercial Services,EarlyTraction,Employment Services
CLAYBRILL CONSULTANCY SERVICES LLP,"Kamrup Metro, Assam, India",Professional & Commercial Services,Validation,Business Support Services
SYNERGY BIOMASS,"Chittorgarh, Rajasthan, India",Renewable Energy,Validation,Others
TEGNIX TECHNOLOGIES PRIVATE LIMITED,"Khordha, Odisha, India",IT Services,Prototype,IT Management
DART ANIMATION STUDIOS,"Dharwad, Karnataka, India",Animation,EarlyTraction,Others
WATTMAXX CLEANTECH PRIVATE LIMITED,"Satara, Maharashtra, India",Renewable Energy,Prototype,Renewable Solar Energy
XEUJ ENGINEERING PRIVATE LIMITED,"Kamrup Metro, Assam, India",Renewable Energy,Validation,Renewable Energy Solutions
ENDURING GREEN TECHNOLOGIES PRIVATE LIMITED,"Bhopal, Madhya Pradesh, India",Technology Hardware,EarlyTraction,Manufacturing
SUNEDGE IT SOLUTION PRIVATE LIMITED,"Gurugram, Haryana, India",IT Services,Prototype,Product Development
BURQON PRIVATE LIMITED,"Nagpur, Maharashtra, India",Technology Hardware,EarlyTraction,Electronics
MANDHARA GLOBAL SOLUTIONS PRIVATE LIMITED,"Bengaluru Rural, Karnataka, India",Social Impact,Scaling,Others
MILKYCUP DAIRY PRIVATE LIMITED,"Karnal, Haryana, India",Agriculture,Validation,Dairy Farming
KEYSQUARE TECHNOLOGIES PRIVATE LIMITED,"East Delhi, Delhi, India",Advertising,Validation,Others
ARV ENGINEERING AND INFRA PRIVATE LIMITED,"Kullu, Himachal Pradesh, India",Construction,Prototype,Construction & Engineering
MATTERLESS TECHNOLOGIES (OPC) PRIVATE LIMITED,"Coimbatore, Tamil Nadu, India",Renewable Energy,Prototype,Renewable Energy Solutions
CERAMAT PRIVATE LIMITED,"Palghar, Maharashtra, India",Chemicals,Scaling,Others
BESPOKE AI STYLIST PRIVATE LIMITED,"Ranga Reddy, Telangana, India",AI,EarlyTraction,Machine Learning
MGS HEALTH & WELLNESS,"Solan, Himachal Pradesh, India",Travel & Tourism,EarlyTraction,Hospitality
SREE RADHA ROADLINES,"Tiruchirappalli, Tamil Nadu, India",Transportation & Storage,Prototype,Freight & Logistics Services
BINARYKEEDA LEARNING PRIVATE LIMITED,"Shahjahanpur, Uttar Pradesh, India",Education,Validation,Education Technology
EWEBSTORE AI PRIVATE LIMITED,"Chennai, Tamil Nadu, India",AI,Validation,NLP
EYNTELA ADMIRE LIFESTYLE PRIVATE LIMITED,"Dibrugarh, Assam, India",Retail,Validation,Others
BORICHA INDUSTRIES INDIA (OPC) PRIVATE LIMITED,"Surat, Gujarat, India",Non- Renewable Energy,EarlyTraction,Oil Related Services and Equipment
ASHOKAVARTIN GLOBAL PRIVATE LIMITED,"Bhagalpur, Bihar, India",Food & Beverages,Validation,Food Processing
FRYPINK PROPERTY PRIVATE LIMITED,"Sitamarhi, Bihar, India",Real Estate,Validation,Housing
PROGREENFIELD PRIVATE LIMITED,"Porbandar, Gujarat, India",Construction,Prototype,Others
VOLTURA POWER PRIVATE LIMITED,"Sikar, Rajasthan, India",Renewable Energy,Validation,Manufacture of Machinery and Equipment
FAIZAN CONSTRUCTION,"Moradabad, Uttar Pradesh, India",Construction,Scaling,Construction & Engineering
STEAMWAVE LAUNDRY RETAILS PRIVATE LIMITED,"Lucknow, Uttar Pradesh, India",House-Hold Services,Validation,Laundry
ANVAYA EXPORTS PRIVATE LIMITED,"Kota, Rajasthan, India",Retail,EarlyTraction,Others
RADHELALMAURYA SEWA SAHYOG FOUNDATION,"Fatehpur, Uttar Pradesh, India",Education,Validation,E-learning
TAMBI EMERALDS LLP,"Jaipur, Rajasthan, India",Fashion,Validation,Jewellery
PURPLEWEB SOLUTIONS LLP,"Ghaziabad, Uttar Pradesh, India",IT Services,Validation,Web Development
BTOLK EDUFLOW PRIVATE LIMITED,"Raipur, Chhattisgarh, India",Education,Validation,E-learning
CRESTOX INDIA PRIVATE LIMITED,"Ahmedabad, Gujarat, India",Finance Technology,Validation,Crowdfunding
VISHWANATH RENEWABLE POWER PRIVATE LIMITED,"Porbandar, Gujarat, India",Renewable Energy,Validation,Renewable Energy Solutions
HAMAA PRODUCTS PRIVATE LIMITED,"Ganjam, Odisha, India",Agriculture,Prototype,Food Processing
REDVEG FOOD VENTURES PRIVATE LIMITED,"Kolkata, West Bengal, India",Food & Beverages,Scaling,Food Processing
AMRENDRA KUMAR SINGH,"Gorakhpur, Uttar Pradesh, India",Construction,Prototype,New-age Construction Technologies
REPAIO TECHNOLOGIES PRIVATE LIMITED,"Bengaluru Rural, Karnataka, India",AI,EarlyTraction,Others
WEXR IMMERSIVE PRIVATE LIMITED,"Meerut, Uttar Pradesh, India",AR VR (Augmented + Virtual Reality),Prototype,Others
SK HEALTHCARE SURGICALS,"Srikakulam, Andhra Pradesh, India",Healthcare & Lifesciences,EarlyTraction,Medical Devices Biomedical
JD RENEWABLE ENERGY PRIVATE LIMITED,"Porbandar, Gujarat, India",Renewable Energy,Validation,Renewable Energy Solutions
A N P BUILDERS JOYA,"Amroha, Uttar Pradesh, India",Construction,Scaling,Construction & Engineering
A M INFRATECH,"Auraiya, Uttar Pradesh, India",Construction,Scaling,Construction & Engineering
VIVANSH VENTURES (OPC) PRIVATE LIMITED,"Khordha, Odisha, India",Social Network,EarlyTraction,Others
ASOID TECHNOLOGIES PRIVATE LIMITED,"Indore, Madhya Pradesh, India",IT Services,Validation,Product Development
NYPLIA INDIA PRIVATE LIMITED,"Pune, Maharashtra, India",Green Technology,EarlyTraction,Others
SKILLS STATION,"Rajkot, Gujarat, India",Education,Prototype,Others
ALMOSTMAGICAL,"Thane, Maharashtra, India",AI,Prototype,Others
MATS PRINT PACK (OPC) PRIVATE LIMITED,"Bengaluru Urban, Karnataka, India",Professional & Commercial Services,Prototype,Commercial Printing Services
PIVIT ENGINEERING TECHNOLOGIES LLP,"Pune, Maharashtra, India",Healthcare & Lifesciences,Validation,Healthcare Technology
BARG INFO SOLUTIONS PRIVATE LIMITED,"Spsr Nellore, Andhra Pradesh, India",Finance Technology,Prototype,Payment Platforms
PARENTFIRST SOLUTIONS PRIVATE LIMITED,"Gautam Buddha Nagar, Uttar Pradesh, India",Education,Validation,Others
EZERV SOLUTIONS INDIA PRIVATE LIMITED,"Hyderabad, Telangana, India",IT Services,Prototype,IT Consulting
MADHAV ENGINEERING SERVICES PRIVATE LIMITED,"Udaipur, Rajasthan, India",Construction,Validation,Construction & Engineering
M/S NEXTVISION CONSTRUCTION ENGINEERING,"North Delhi, Delhi, India",Construction,EarlyTraction,Construction & Engineering
YADUVANSHI INDUSTRIES PRIVATE LIMITED,"Ahmedabad, Gujarat, India",Green Technology,Scaling,Clean Tech
SHANVI CONSTRUCTIONS,"Amalapuram, Andhra Pradesh, India",Construction,Scaling,Construction & Engineering
VEHUP E-COMMERCE PRIVATE LIMITED,"Kozhikode, Kerala, India",Automotive,Validation,Others
AKUMALLA NIKHIL (OPC) PRIVATE LIMITED,"Nandyal, Andhra Pradesh, India",Professional & Commercial Services,Validation,Business Support Services
SAARTHIUM SERVICES PRIVATE LIMITED,"Ahmedabad, Gujarat, India",Professional & Commercial Services,Validation,Business Support Services
DONNA ANALYTICS PRIVATE LIMITED,"Bikaner, Rajasthan, India",Analytics,Validation,Big Data
H K ENTERPRISE,"Mehsana, Gujarat, India",Professional & Commercial Services,EarlyTraction,Employment Services
SHREE HARI ENTERPRISE,"Gandhinagar, Gujarat, India",Professional & Commercial Services,EarlyTraction,Employment Services
GOLD WALT INDIA (OPC) PRIVATE LIMITED,"Udaipur, Rajasthan, India",Finance Technology,Validation,Trading
CREDISTRAL AI PRIVATE LIMITED,"Srinagar, Jammu and Kashmir, India",Finance Technology,Prototype,Business Finance
FANLYS INDUSTIES PRIVATE LIMITED,"Ratlam, Madhya Pradesh, India",Technology Hardware,Prototype,Manufacturing
NOVAFUZE LLP,"Bengaluru Urban, Karnataka, India",IT Services,EarlyTraction,Product Development
ARC NEXT (OPC) PRIVATE LIMITED,"Jayashankar Bhupalapally, Telangana, India",Fashion,EarlyTraction,Lifestyle
AELIUS TEHO PRIVATE LIMITED,"Kanpur Nagar, Uttar Pradesh, India",Other Specialty Retailers,Validation,Others
FLICKMATCH PRIVATE LIMITED,"Gurugram, Haryana, India",Sports,EarlyTraction,Sports Promotion and Networking
BUZZLINE TECHNOLOGIES PRIVATE LIMITED,"Bengaluru Urban, Karnataka, India",Telecommunication & Networking,Prototype,Network Technology Solutions
PROBABLE ROBOTICS PRIVATE LIMITED,"Kozhikode, Kerala, India",Robotics,Prototype,Robotics Technology
BOOKMYFARM XV PRIVATE LIMITED,"Surat, Gujarat, India",Travel & Tourism,Prototype,Holiday Rentals
MARKJ RESEARCH AND ANALYTICS SOLUTIONS PRIVATE LIMITED,"Mumbai Suburban, Maharashtra, India",IT Services,Prototype,Application Development
KIRAL TECHNO SERVICES PRIVATE LIMITED,"Indore, Madhya Pradesh, India",Passenger Experience,Validation,Others
RIAR CONSULTING PRIVATE LIMITED,"Allahabad, Uttar Pradesh, India",Healthcare & Lifesciences,Scaling,Pharmaceutical
OCTASCAPE TECHNOLOGIES PRIVATE LIMITED,"Ranga Reddy, Telangana, India",AI,Validation,Others
SWITS DIGITAL PRIVATE LIMITED,"Chennai, Tamil Nadu, India",IT Services,EarlyTraction,IT Consulting
HALONEX LABS PRIVATE LIMITED,"Tirunelveli, Tamil Nadu, India",AI,Validation,Others
DOCSO MEDITECH PRIVATE LIMITED,"Jhansi, Uttar Pradesh, India",Healthcare & Lifesciences,Prototype,Healthcare Services
RASYN TECHNOLOGIES PRIVATE LIMITED,"South Delhi, Delhi, India",AI,EarlyTraction,Machine Learning
KAINCHI NEXSCOPE PRIVATE LIMITED,"Rajkot, Gujarat, India",Agriculture,EarlyTraction,Agri-Tech
ELEVA FINTECH PRIVATE LIMITED,"Gautam Buddha Nagar, Uttar Pradesh, India",Finance Technology,EarlyTraction,Others
VANSHIV TECHNOLOGIES PRIVATE LIMITED,"Jaipur, Rajasthan, India",IT Services,Scaling,IT Consulting
FYRRA FOOD AND BEVERAGES (OPC) PRIVATE LIMITED,"Thane, Maharashtra, India",Food & Beverages,Validation,Food Processing
OVERHEAD SYSTEMS LLP,"South Delhi, Delhi, India",Construction,Prototype,Construction & Engineering
APNJ ADVISORS LLP,"South Delhi, Delhi, India",Finance Technology,Prototype,Business Finance
TAPPER TEA (OPC) PRIVATE LIMITED,"Pune, Maharashtra, India",Retail,Validation,Retail Technology
KANTHALLOOR BERRIES PRIVATE LIMITED,"Idukki, Kerala, India",Agriculture,EarlyTraction,Food Processing
SATYANTA HEKASHIFT PRIVATE LIMITED,"Pune, Maharashtra, India",Healthcare & Lifesciences,Validation,Health & Wellness
OPEX ERP SOLUTIONS PRIVATE LIMITED,"Ranga Reddy, Telangana, India",Enterprise Software,Prototype,ERP
SAFFRON BLUE VENTURES PRIVATE LIMITED,"Hyderabad, Telangana, India",Agriculture,Prototype,Others
SHRI VENKATESHWARA GOLD AND DIAMONDS PRIVATE LIMITED,"Dharwad, Karnataka, India",Fashion,Validation,Jewellery
ARKANET VENTURES LLP,"Lucknow, Uttar Pradesh, India",Media & Entertainment,EarlyTraction,Others
ELON EDUCATION FOUNDATION,"Darbhanga, Bihar, India",Education,EarlyTraction,Skill Development
RATTLES DANCE ACADEMY LLP,"Chennai, Tamil Nadu, India",Education,EarlyTraction,Coaching
SOUTHVILLE AGRO PRIVATE LIMITED,"Thiruvananthapuram, Kerala, India",Food & Beverages,Validation,Food Processing
KAIUS CONSULTING PRIVATE LIMITED,"Gurugram, Haryana, India",Construction,Scaling,Construction & Engineering
BHADOHI OIL INDUSTRIES PRIVATE LIMITED,"Bhadohi, Uttar Pradesh, India",Agriculture,Validation,Food Processing
GENESSA FERTILITY AND WOMEN HEALTH PRIVATE LIMITED,"Nashik, Maharashtra, India",Healthcare & Lifesciences,Validation,Healthcare Technology
AMM BRANDS LLP,"South West Delhi, Delhi, India",Education,Prototype,Skill Development
VIZRY PUBLISHING LLP,"Noida, Uttar Pradesh, India",Media & Entertainment,Prototype,Digital Media Publishing
BIXBITE INNOVATIONS PRIVATE LIMITED,"Hyderabad, Telangana, India",AI,Validation,Others
OMTAT TECHNOLOGIES PRIVATE LIMITED,"Surendranagar, Gujarat, India",Enterprise Software,EarlyTraction,Others
NINETEEN VENTURES AND TECHNOLOGY PRIVATE LIMITED,"Gautam Buddha Nagar, Uttar Pradesh, India",AI,Validation,Others
ADS SMART CITY PROJECTS PRIVATE LIMITED,"Mehsana, Gujarat, India",Real Estate,Validation,Housing
CREDOVATION SOLUTIONS PRIVATE LIMITED,"Kolkata, West Bengal, India",IT Services,Prototype,Product Development
KORI TECHSERV PRIVATE LIMITED,"Katni, Madhya Pradesh, India",Travel & Tourism,Prototype,Others
QUANTUMBEES INFOTECH PRIVATE LIMITED,"Asansol, West Bengal, India",IT Services,Prototype,Others
ALACTIC ENTERPRISES PRIVATE LIMITED,"Gurugram, Haryana, India",AI,Validation,Machine Learning
VEDAVINYA PRIVATE LIMITED,"Kolkata, West Bengal, India",AI,Validation,Others
COOPRETA AGRITEK FINOVATION PRIVATE LIMITED,"Anuppur, Madhya Pradesh, India",Agriculture,Prototype,Agri-Tech
MARMAN CLIMATE SERVICES PRIVATE LIMITED,"North Delhi, Delhi, India",Finance Technology,EarlyTraction,Business Finance
SHREEINFOTECH SOFTWARE DEVELOPMENT PRIVATE LIMITED,"Yavatmal, Maharashtra, India",IT Services,Scaling,Web Development
ADVERZA TECHNOLOGIES LLP,"Coimbatore, Tamil Nadu, India",IT Services,Prototype,Product Development
FM FARMS AND FEEDS PRIVATE LIMITED,"Kolkata, West Bengal, India",Pets & Animals,Scaling,Others
RENORMALIX TECHNOLOGIES PRIVATE LIMITED,"East Delhi, Delhi, India",IT Services,Prototype,Others
STRUCTOBRIK TECHNOLOGIES & INFRA LLP,"Bhopal, Madhya Pradesh, India",IT Services,Prototype,IT Consulting
FRAMEFINDER SOLUTIONS PRIVATE LIMITED,"Mathura, Uttar Pradesh, India",Other Specialty Retailers,Scaling,Others
GVA HEALTH TECH PRIVATE LIMITED,"Bengaluru Urban, Karnataka, India",Healthcare & Lifesciences,Validation,Healthcare Technology
PKEY PLATFORMS (OPC) PRIVATE LIMITED,"Hyderabad, Telangana, India",Travel & Tourism,Validation,Hospitality
THIRD PLANET SOLUTIONS PRIVATE LIMITED,"Vadodara, Gujarat, India",Pets & Animals,EarlyTraction,Others
NOVANIX INNOVATIONS LLP,"Thiruvananthapuram, Kerala, India",AI,Prototype,Others
STEMINDIA TECHNOCRAFTS PRIVATE LIMITED,"Kamrup Metro, Assam, India",Education,Validation,Education Technology
VYOMXPRESS PRIVATE LIMITED,"Jaipur, Rajasthan, India",Logistics,EarlyTraction,Others
AKITA SMT SOLUTIONS PRIVATE LIMITED,"South Eastdelhi, Delhi, India",Technology Hardware,Scaling,Electronics
DIGITRUCE PRIVATE LIMITED,"Nagpur, Maharashtra, India",IT Services,Validation,Others
WAVELOGIC SYSTEMS (OPC) PRIVATE LIMITED,"Bengaluru Urban, Karnataka, India",IT Services,EarlyTraction,IT Consulting
PRAKYDR TECH PRIVATE LIMITED,"Patna, Bihar, India",Transportation & Storage,Prototype,Passenger Transportation Services
BASSWALA PRIVATE LIMITED,"Alwar, Rajasthan, India",Events,Validation,Event Management
LSD CLOUD TECHNOLOGIES LLP,"Faridabad, Haryana, India",IT Services,Prototype,IT Consulting
INTRAWATT PRIVATE LIMITED,"Ahmedabad, Gujarat, India",Renewable Energy,Prototype,Renewable Solar Energy
SYLOEDGE TECHNOLOGIES PRIVATE LIMITED,"Bengaluru Urban, Karnataka, India",Education,Validation,Skill Development
CODIGO MANTRA PRIVATE LIMITED,"Bathinda, Punjab, India",IT Services,Scaling,Product Development
HEALTHANCHOR PRIVATE LIMITED,"Nagpur, Maharashtra, India",Healthcare & Lifesciences,Validation,Medical Devices Biomedical
REPHRESH GREEN SOLUTIONS PRIVATE LIMITED,"Mumbai Suburban, Maharashtra, India",Green Technology,Prototype,Waste Management
SATHYA NEXUS PRIVATE LIMITED,"Proddatur, Andhra Pradesh, India",Finance Technology,Validation,Mobile wallets Payments
FLEEZ FIT PLEASE PRIVATE LIMITED,"Raigad, Maharashtra, India",Professional & Commercial Services,Prototype,Others
ROYALRVS TELE FAB PRIVATE LIMITED,"Kanchipuram, Tamil Nadu, India",Construction,Validation,Construction & Engineering
LINKCON ENGINEERING PRIVATE LIMITED,"New Delhi, Delhi, India",Construction,EarlyTraction,Construction & Engineering
SIN NUTRIGLOBAL PRIVATE LIMITED,"Ernakulam, Kerala, India",Healthcare & Lifesciences,Scaling,Health & Wellness
BLUDE LIFE SCIENCE AND TECH LLP,"Madurai, Tamil Nadu, India",Healthcare & Lifesciences,Validation,Healthcare Technology
QUICKTERA 3D TECHNOLOGIES PRIVATE LIMITED,"Thane, Maharashtra, India",AR VR (Augmented + Virtual Reality),Validation,Others
KJBN LABS PRIVATE LIMITED,"Tiruppur, Tamil Nadu, India",IT Services,Validation,Product Development
WELET TECHNOLOGY PRIVATE LIMITED,"Ahmedabad, Gujarat, India",Transportation & Storage,EarlyTraction,Freight & Logistics Services
BETTER3D PRIVATE LIMITED,"Ahmedabad, Gujarat, India",Architecture Interior Design,Validation,Others
GREENNOVA RENEWABLE ENERGY LLP,"Surat, Gujarat, India",Renewable Energy,EarlyTraction,Renewable Energy Solutions
ORGANIC VANASPATI INDIA PRIVATE LIMITED,"Ghaziabad, Uttar Pradesh, India",Food & Beverages,EarlyTraction,Food Processing
ARCHITANZ TECHNOLOGIES PRIVATE LIMITED,"Chennai, Tamil Nadu, India",IT Services,Scaling,IT Consulting
MYPAYZZ FINTECH SOLUTIONS (OPC) PRIVATE LIMITED,"Kanchipuram, Tamil Nadu, India",Finance Technology,Validation,Business Finance
EVERYGREEN AGRO LLP,"Kamrup, Assam, India",Chemicals,Prototype,Agricultural Chemicals
AKASHGANGA AQUA TECH PRIVATE LIMITED,"Nagpur, Maharashtra, India",Green Technology,Validation,Clean Tech
DR. PP'S HEALTHCARE PRIVATE LIMITED,"Jalgaon, Maharashtra, India",Healthcare & Lifesciences,Prototype,Healthcare Technology
MEDIVATION BIO PRIVATE LIMITED,"Central Delhi, Delhi, India",Healthcare & Lifesciences,EarlyTraction,Medical Devices Biomedical
RAVELINER TECHNOLOGIES PRIVATE LIMITED,"Pondicherry, Puducherry, India",Automotive,Validation,Others
