Investor name,Website,Global HQ,Investment thesis,Investor type,Preferred Stages,Cheque Min,Cheque Max
BGV Benhamou Global Ventures,https://benhamouglobalventures.com/,"540 Cowper Street, Palo Alto, CA 94301, United States","We invest in Enterprise 4.0, a next generation of Enterprise Software, which are combining 3 main elements: AI, intelligent automation and unique data set. We are 100% focused on cross-border investments, investing in companies that are conceived outside the US and helping them position themselves in the US. Main focus: Future of Work, Vertical AI platforms (focusing on 1 industry such as retail, manufacturing, logistics, insurtech or focusing on 1 function such as Customer Sucess, Sales, etc), e-commerce, DevOps, Cybersecurity",VC,['Early Revenue'],250000,5000000
Bharat Innovation Fund,https://bharat.fund/,India,,VC,['Early Revenue'],,
Bluesky Equities,http://www.blueskyequities.com/,"150 9 Ave SW, Calgary, Alberta T2P 3H9, CA",We invest in global B2B technology companies with >$0 ARR.,Family office,"['Early Revenue', 'Scaling', 'Growth', 'Pre-IPO']",50000,250000
Breyer Capital,https://breyercapital.com/,USA,,VC,"['Prototype', 'Early Revenue']",,
Catamaran Ventures,https://catamaran.in/,,,Other,[],,
CE Ventures,https://www.crescententerprises.com/ce-ventures/,"Crescent House, P.O Box 2222, Corniche Al Buhaira, Sharjah, AE","We invest in consumer tech (MENA, SE Asia and India), Enterprise tech (US) and deep tech (global).

We typically invest in Series B onwards. ",Corporate VC,"['Growth', 'Scaling', 'Pre-IPO']",2000000,7000000
Chiratae Ventures (ex-IDG Ventures India),http://chiratae.com/,"Bangalore, Karnataka, India",,Corporate VC,['Early Revenue'],,
Cisco Investments,https://www.ciscoinvestments.com/,"San Francisco, California, United States",,Corporate VC,['Early Revenue'],,
Cloud Capital,https://www.cloudcap.in/,"Delhi, India",We invest in tech-first Indian startups building global products.,VC,"['Early Revenue', 'Idea or Patent', 'Prototype', 'Scaling']",100000,250000
Convivialité Ventures,https://www.convivialite-ventures.com/,"580 Howard, CA 94105, San Francisco, USA","We invest in technology companies that are changing the way people socialize, entertain, and share experiences together.

Backed by Pernod Ricard, we support entrepreneurs from series A to C who reinvent the future of convivialité.",Corporate VC,"['Early Revenue', 'Growth', 'Scaling']",250000,10000000
Convrtx,https://www.convrtx.com/,"Toronto, Ontario M4B 1B3, CA","An award-winning venture studio that scales software startups to dominate markets, created by founders, for founders.","Incubator, Accelerator","['Idea or Patent', 'Prototype']",20000,200000
Courtside Ventures,http://courtsidevc.com/,"148 W. 24th Street, New York, New York 10010, US","We invest in early-stage companies across sports, collectibles, media, fitness, wellness and gaming. ",VC,"['Prototype', 'Early Revenue', 'Idea or Patent']",500000,3000000
CP Ventures,https://cp.ventures/,"37 Bligh Street, Sydney NSW, Suite 2, Sydney, New South Wales 2000, AU","We invest globally in early stage, highly scalable, breakthrough technology companies",VC,"['Early Revenue', 'Idea or Patent', 'Prototype']",100000,500000
Calm Company Fund,https://calmfund.com/,"382 NE 191st St #52077, Miami, FL 33179, USA","We invest in ""calm companies,"" founders who care about building their company their way, not for VCs. We don't care if you raise another round of funding or if you want to exit for $5M. Success looks different to all founders and we'll work together to help you reach your goals. ",VC,['Early Revenue'],25000,250000
Eight Roads,https://eightroads.com/en/,UK,,VC,['Early Revenue'],,
Emerald Media by KKR,http://emeraldmedia.asia/,"Mumbai, Maharashtra, India",,Corporate VC,[],,
Factor[e] Ventures,https://www.factore.com/,"430 N. College Ave, Fort Collins, Colorado 80524, US","We invest in early-stage technology companies creating impact in emerging markets. We focus on 4 verticals: energy, mobility, waste, agriculture. ",VC,['Early Revenue'],250000,750000
First Check Ventures,https://www.firstcheckventures.com/,Mexico,We invest in early stage startups across the globe,VC,"['Early Revenue', 'Scaling', 'Growth', 'Pre-IPO', 'Prototype', 'Idea or Patent']",100000,1000000
Flash Ventures,https://www.fl4sh.vc,"Charlottenstraße 4, 10969 Berlin, Germany","We invest in talented founders at pre-seed stage, empowering them to build game-changing businesses.",VC,"['Idea or Patent', 'Prototype', 'Early Revenue']",500000,1000000
FounderPartners,https://www.founderpartners.co/,"3 E 3rd Ave, San Mateo, California 94401, US","We invest in global technical founders. We target capital-efficient businesses in software, digital media, APIs, and blockchain. Our center of gravity is in Silicon Valley but our team is global and we partner with companies from all over the world.",Startup studio,"['Early Revenue', 'Growth', 'Scaling']",50000,1000000
GoAhead Ventures,https://www.goaheadvc.com/,"535 Middlefield Ste 280 Road Menlo Park, CA 94025","We invest in all sectors and all geographies.

We are a highly active pre-seed and seed stage venture capital fund based out of Silicon Valley. We invest in ALL technology sectors and ALL geographies, and we have invested in over 100 companies all over the world.  As a startup ourselves, we created a very open and fast video pitch process to serve all the entrepreneurs in the world.

Step 1: Please submit your video pitch here (takes ~5min) which is reviewed by all 3 of our managing partners within 3 days of submission.  

Step 2: Full GoAhead Partnership Zoom pitch, ideally with your full co-founding team.  >>>  (Step 3 happens on the following day at 5PM PST)

Step 3: GoAhead makes an offer using a standard SAFE document or a polite pass. This decision comes the day after your zoom pitch!

We look forward to reviewing your submission!",VC,"['Prototype', 'Idea or Patent', 'Early Revenue']",100000,1500000
GPO Fund,https://www.gpofund.com/,"420 Lexington Avenue, Suite 1402, New York, NY 10170 ","We invest in tech-driven, founder-led, global companies that can harness global public capital markets to achieve growth, business expansion, and market leadership.",VC,"['Scaling', 'Growth', 'Pre-IPO']",5000000,10000000
GrowX Ventures,http://growxventures.com/,India,,VC,['Prototype'],,
GSV Ventures,https://gsv.ventures/,"171 2nd St, San Francisco, California US",We invest in education technology companies only.,VC,"['Early Revenue', 'Scaling', 'Growth']",250000,15000000
Hummingbird Ventures,https://www.hummingbird.vc/,"London, United Kingdom",We invest in entrepreneurial genius globally at early-stage.,VC,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling']",500000,10000000
IAN Fund,https://www.ian-fund.com/,"Delhi, India",We invest in post-revenue Indian startups. Software & SaaS focus across all industries. ,VC,"['Early Revenue', 'Scaling', 'Growth']",1000000,6000000
IDG Ventures,http://www.idgventures.com/,"Bangalore, Karnataka, India",,Corporate VC,[],,
Indian Angel Network,https://www.indianangelnetwork.com/,"Delhi, India",We invest in early and growth-stage startups. We're sector agnostic and have invested in over 160 companies across 17 different sectors and 7 countries.,Angel network,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling', 'Growth']",30000,1000000
Inventus Capital Partners,https://inventuscap.com/,,,Other,[],,
Investec Emerging Companies,https://www.investec.com/en_au/emerging-companies.html,Australia,,VC,[],2000000,
Kalaari Capital,https://www.kalaari.com/,"Navigator Building, ITPL, Whitefield, Bangalore 560066, Karnataka, India",We invest in tech startups building for the Indian market or building in India for the global markets. Kalaari is a sector agnostic fund with a focus on early-stage companies.,VC,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling']",300000,5000000
Khoob,http://khoob.group/,"3rd Floor Kushal House 39 Nehru Place, New Delhi, 110019, India ",We invest in interesting early stage Indian companies. ,VC,"['Idea or Patent', 'Prototype']",25000,250000
Lets Venture,https://letsventure.com/,India,,VC,[],,
M12 - Microsoft Venture Fund,https://m12.vc/,"San Francisco, California, United States",We invest in early-stage software companies disrupting the enterprise.,Corporate VC,"['Early Revenue', 'Scaling', 'Growth']",1000000,20000000
Mahindra Partners,http://www.mahindrapartners.com,"Mumbai, Maharashtra, India",,Corporate VC,[],,
Masawa,https://masawa.fund/,"Rheinsberger Strasse 76/77, 10115 Berlin, Germany",We invest in founders revolutionizing the mental wellness landscape.,VC,"['Prototype', 'Early Revenue']",50000,2000000
MassMutual Ventures,https://www.massmutualventures.com/,"470 Atlantic Avenue, Boston, MA 02110, US","We invest in enterprise software, cybersecurity, financial technology, and digital health companies.",VC,"['Early Revenue', 'Scaling', 'Growth']",500000,10000000
Matrix Partners,https://www.matrixpartners.com/,"San Francisco, California, United States",,Other,[],,
Mayfield Fund,https://www.mayfield.com/,"2484 Sand Hill Rd, Menlo Park, California US","We invest in:
- enterprise. SaaS, infra, dev ops, semi, networking, security
- consumer: eCommerce (subscription), marketplaces, health and wellness, financial services, networks & communities, productivity, device-as-a-service
- engineering bio: synthetic bio, therapeutics, med devices, sustainable materials and foods
- products and services that are not only good potential businesses, but are also good for people, society and planet.",VC,"['Early Revenue', 'Scaling', 'Prototype']",2000000,10000000
Mirae Asset Venture Investments,https://www.am.miraeasset.com/,,,Other,[],,
NVP Norwest Venture Partners,https://www.nvp.com/venture/,"525 University Avenue, Suite 800, Palo Alto, CA 94301, US","We invest in all verticals with a focus on healthcare, consumer, enterprise software.",VC,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling', 'Growth', 'Pre-IPO']",500000,10000000
Omnivore Partners,http://www.omnivore.vc/,India,,VC,['Early Revenue'],,
Orange Corp,http://www.orangecorp.co,"Mumbai, Maharashtra, India",,Corporate VC,[],,
Pi Ventures,http://www.piventures.in/,India,,VC,['Early Revenue'],,
Plug & Play Ventures,https://www.plugandplaytechcenter.com/ventures/,"440 N. Wolfe Rd, Sunnyvale, CA 94085, US","We invest in early stage tech companies across industries. We are based in Silicon Valley but invest in companies around the world.

We invest at early-stage across most industries: Fintech, Insurtech, Internet of Things, Brand & Retail, Mobility, New Materials & Packaging, Sustainability, Food & Beverage, Travel & Hospitality, Health & Wellness, and Supply Chain & Logistics.",VC,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling']",50000,400000
Reliance Venture Asset Management,http://www.relianceventure.com/,"Mumbai, Maharashtra, India",,Corporate VC,[],,
Romulus Capital,https://romuluscap.com/,"101 Arch Street, Boston, MA 02110, US","We invest in Seed - Series B rounds, mainly as lead investors, for B2B companies within two categories:

Companies selling technology to solve real problems in large traditional industries (e.g., agriculture, construction, energy, retail, real estate).

Deep technology companies that have spun out of top-tier research groups (e.g., MIT, Harvard, Cambridge, Stanford, SRI, Draper).",VC,"['Early Revenue', 'Scaling']",100000,10000000
Saama Capital Advisors,https://www.saamacapital.vc/,,,Other,[],,
Saif Partners,http://www.saifpartners.com/,,,Other,[],,
Salesforce Ventures,https://www.salesforce.com/ventures/,"1 Market, San Francisco, CA 94105, US",We invest in the leading enterprise cloud software (B2B) companies from Series A to IPO globally.,Corporate VC,"['Early Revenue', 'Scaling', 'Growth', 'Pre-IPO']",1000000,100000000
Samrat Investments,https://www.samratfinancialbanking.com/funding,"Manali, Himachal Pradesh, India",,Corporate VC,[],,
Samyakth Capital,http://samyakthcapital.com/,"1106, Marathon Icon, Lower Parel West, Mumbai, Maharashtra - 400013, India",We invest in all areas (Sector agnostic),VC,"['Early Revenue', 'Prototype']",25000,200000
Sangam Ventures,https://www.sangam.vc/,India,,VC,['Early Revenue'],,
Satgana,https://satgana.com/,"Luxembourg City, LU",We invest in mission-driven entrepreneurs that build technology solutions to the climate & ecological crisis.,VC,"['Idea or Patent', 'Prototype', 'Early Revenue']",25000,500000
Sea Fund,https://www.seafund.in/,"Ebony 1203A, Godrej Woodsman Estate, Hebbal, Bangalore-560024, India","We invest in early-stage companies, preferably with some semblance of a product-market fit at the intersection of network effects, technology, and innovative business models by leveraging platforms, protocols, and the power of modularity. 

Our mission is, to help the next set of technical founders, with small amounts of early capital in getting to market to build efficient and scalable businesses. We value an India for India play, which can then subsequently be scaled to, first, similar markets and subsequently globally. ",VC,"['Prototype', 'Early Revenue', 'Idea or Patent']",50000,200000
Sente Foundry,https://www.sente.vc/,"222 W. Merchandise Mart Plaza, Suite 570, Chicago, IL 6054 U.S.A.","We invest in urban mobility/logistics, human essentials, and industrial circular economy in collaboration with corporations and family offices that are looking for opportunities in the global ecosystems. We are looking for startups at MVP stage (not earlier) and at zero or minimal revenue.",Corporate VC,"['Early Revenue', 'Scaling', 'Growth']",75000,100000
Sequoia Capital,https://www.sequoiacap.com/,"Menlo Park, California, United States",,VC,"['Early Revenue', 'Scaling']",,
SGH Capital,https://www.sghcapital.com/,Luxembourg,,VC,['Early Revenue'],,
Spacecadet Ventures,https://spacecadet.ventures/,USA,We invest in forward-thinking founders who build companies at the intersection of emerging cultural & technology trends.,VC,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling']",100000,500000
Speciale Invest,https://www.specialeinvest.com/,"3rd Floor, Sobha Pearl 1, Commissariat Road, Ashok Nagar, Bengaluru, Karnataka 560025, Bangalore, Karnataka 560025, IN","We invest in Deep tech, B2B Software, and Industrial hardware-based startups at the pre-seed and seed stage. ",VC,"['Idea or Patent', 'Prototype', 'Early Revenue']",100000,500000
Susa Ventures,https://susaventures.com/,"660 York St Suite 201, San Francisco, CA 94110, United States","We invest in companies building compounding moats, such as network effects, proprietary data, or economies of scale. Compounding moats enable businesses to become more defensible with scale. ",VC,"['Early Revenue', 'Prototype', 'Idea or Patent']",1000000,2000000
TCG The Chernin Group,https://tcg.co/,"12180 Millennium Drive, Suite 500, Playa Vista, CA 90094",TCG is a multi-stage investment firm dedicated to building consumer business. We invest on majority and minority investments across the consumer landscape. ,Other,"['Early Revenue', 'Scaling', 'Growth', 'Pre-IPO']",10000000,100000000
Tomorrow Capital,http://www.tomorrowcapital.in,"Mumbai, Maharashtra, India",,Corporate VC,[],,
United Investors,https://unitedinvestors.ru/,"Russia, Moscow",We invest in revenue-first startups,Angel network,"['Prototype', 'Early Revenue', 'Scaling']",50000,2000000
Unitus Ventures,https://unitus.vc/,"Axilor Transit, 3rd Floor, Sobha Pearl, Commissariart Road, Sivanchetti Gardens, Bangalore, Karnataka 560025, IN","We invest in early-stage fintech, healthcare, and jobtech startups with India scale and global emerging market potential.",VC,"['Early Revenue', 'Scaling']",500000,1000000
Unpopular Ventures,https://unpopular.vc/,"90 Gold St, San Francisco, CA 94133, United States",We invest in the category leaders of tomorrow whose potential is being underestimated today.,VC,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling', 'Growth', 'Pre-IPO']",100000,500000
UTEC - The University of Tokyo Edge Capital,https://www.ut-ec.co.jp/english/,"The University of Tokyo, Japan","UTEC - The University of Tokyo Edge Capital Partners, is a Japan-based seed/early stage deep-tech venture capital firm associated with academic institutes such as The University of Tokyo. UTEC has over $500M Assets Under Management, and has invested in 100+ companies in Japan, USA, Singapore, India and Europe with a track record of 13 IPOs and12 successful M&A (as of Mar 2021). UTEC predominantly invests in three deep-tech sectors: a) Healthcare & Life Sciences, b) IT/AI, and c) Physical Sciences & Engineering.",VC,"['Prototype', 'Early Revenue', 'Scaling', 'Idea or Patent']",1000000,4000000
Venture Highway,https://www.venturehighway.vc/,"2 Nambardar Estates, Gurudwara Rd, Navjivan Buddh Vihar, Taimoor Nagar, New Friends Colony, New Delhi","We invest in pre-product/early revenue Indian teams using technology in commerce, education, finance, human capital, marketing, and social",VC,"['Prototype', 'Early Revenue', 'Idea or Patent']",200000,2500000
Ventureast,http://www.ventureast.net/,India,,VC,['Early Revenue'],,
VU Venture Partners,https://www.vuventurepartners.com/,"500 Washington St, 340, San Francisco, California 94111, US","We invest in  7 vertical teams, including Consumer & Enterprise (two generalist teams) and five more vertical focused teams each with their industry expertise: FinTech (Financial Services, Crypto, & NFTs), Frontier (AI, Robotics, Advanced Materials, & SpaceTech), Healthcare (HealthTech, Medical Devices",VC,"['Early Revenue', 'Scaling', 'Growth']",100000,1000000
Wadhawan Global Capital,http://www.wgcworld.com/,"Mumbai, Maharashtra, India",,Corporate VC,[],,
YourNest VC,https://www.yournest.in/,India,,VC,[],,
Banana Capital,https://www.bananacapital.vc/,"Ann Arbor, MI, USA",We invest in consumer and bottoms-up enterprise products,VC,"['Prototype', 'Idea or Patent', 'Early Revenue', 'Scaling', 'Growth', 'Pre-IPO']",25000,300000
Stadia Ventures,http://www.stadiaventures.com/,"383 Marshall Avenue, St. Louis, MO 63122, United States","We invest in early-stage startups in sports and esports that have defined product market fit, generally with ARR between $250k-$1MM. ",VC,"['Early Revenue', 'Scaling']",50000,250000
GPI Global Partners Investments,https://www.gpiuk.com/,"E16 2DQ, London, UK","We invest in startups and established businesses in a sector-agnostic mandate and bring it under our strict due diligence to our pool of sovereigns, institutional, funds, and individual investors. Ticket size varies according to the stage of the startup or the opportunity and we structure equity investment deals.",Other,"['Idea or Patent', 'Early Revenue', 'Scaling', 'Growth', 'Pre-IPO', 'Prototype']",5000,30000000
Unrest,https://www.unrest.world,"154 Clerkenwell Rd, London EC1R 5AB","Unrest is an accelerator programme for the world's most ambitious impact-focused consumer businesses. We run a 4 month programme, based in London, for companies at early stages, from pre-seed to early Series A. ","Incubator, Accelerator","['Idea or Patent', 'Prototype', 'Early Revenue']",,0
Outlier Ventures,http://www.outlierventures.io/,"82 Clerkenwell Road, London, England EC1M 5RJ, GB",We invest in Global Web 3 and blockchain startups building the Metaverse = DeFi + NFT + New Data at stages ranging from single founder+prototype in the works to more developed teams looking to decentralise centralised propositions and everything in-between. We are looking at everything from ledgers to storage to middleware to protocols to dev tools to apps.,"Incubator, Accelerator","['Prototype', 'Early Revenue']",50000,100000
Accion Venture Lab,https://www.accion.org/how-we-work/invest/accion-venture-lab,"1101 15th St., NW, Suite 400, Washington, D.C., 20005, US","We invest in innovative, scalable fintech startups that improve the reach, quality, and affordability of financial services for the underserved.",VC,"['Early Revenue', 'Scaling']",250000,500000
Saison Capital,https://saisoncapital.com/,"Singapore, Singapore 018960, SG",We invest in Fintech and Consumer,Corporate VC,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling']",100000,3000000
Remote First Capital,https://www.remotefirstcapital.com/,"San Francisco, USA","We invest in the next generation of remote work, global work infrastructure, and second-degree effects of it.

Also engineering and no-code tooling",VC,"['Prototype', 'Early Revenue', 'Idea or Patent', 'Scaling']",50000,200000
100X.VC,https://www.100x.vc,"91 springboard, Godrej & Boyce, Gate No.2, LBS Marg, Vikhroli West, Mumbai, Maharashtra 400079",We invest in all sectors focused on writing the first cheque in Indian pre-seed / seed-stage startups. ,VC,"['Idea or Patent', 'Prototype', 'Early Revenue']",35000,35000
Startup-O,https://www.startup-o.com/,"01-05, SULTAN LINK, 57, MOHAMED SULTAN ROAD,, SINGAPORE, Singapore 238997, SG","We invest in product-ready, early revenues tech-ventures, especially in B2B space. We are tech vertical agnostic but stage loyal. We invest in companies from any geography and are known as founder-friendly strategic investors given our networks and scaling expertise around the world and especially in Asia. ",VC,"['Early Revenue', 'Scaling']",150000,500000
iBos Ventures,https://www.ibosventures.com/,"12130 Millennium Drive, Los Angeles, CA 90094",We invest in tech-enabled businesses to positively impact society.,VC,"['Idea or Patent', 'Prototype', 'Scaling', 'Early Revenue', 'Growth', 'Pre-IPO']",10000,500000
Deutsche Telekom Hubraum Fund,http://www.hubraum.com/investment,"Winterfeldtstr. 21, 10781 Berlin, Germany","We invest in potential future strategic partners for the telco industry, especially in the areas of future connectivity and connected life & work such as 5G, IoT and AI.",Corporate VC,"['Prototype', 'Early Revenue']",50000,350000
Village Global,https://www.villageglobal.vc/,"San Francisco, CA","We invest in all geographies and all industries. We are location and sector agnostic, investing at accelerator stage via our Village Global Accelerator and in pre-seed and seed rounds.",VC,"['Idea or Patent', 'Prototype', 'Early Revenue']",100000,500000
Houghton Street Ventures,https://houghtonstreet.com,"LSE Library, 10 Portugal St, Holborn, London WC2A 2HD, United Kingdom","We invest in students and alumni of the London School of Economics, globally, at Seed and Series A.",VC,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling']",500000,2500000
Seraphim Space,https://seraphim.vc/,"1 Fleet Place, London, England EC4M 7RD, GB","We invest in companies enabling the space and drone ecosystem, including Space, DeepTech, IoT, AgTech, AI, Analytics, ClimateTech/CleanTech, DeepTech, Hardware, Insurance, IoT, Smart, Cities/UrbanTech, from Series A to growth stage companies.",VC,"['Early Revenue', 'Scaling', 'Growth']",250000,25000000
Wavemaker Partners,https://wavemaker.vc/,"1 Nanson Road, 1880 Members Club, 3rd Floor, Singapore, Singapore 238909, SG",We invest in enterprise and deep technology companies. It has invested in more than 150 companies in the region with 80% in enterprise and over 20% in deep tech.,VC,"['Early Revenue', 'Prototype']",100000,3000000
EMVC Emphasis Ventures,https://www.em.vc/,"Mumbai, Maharashtra 100011, IN","We invest in breakthrough India-based or India-inspired fintech and insurtech startups (consumer, B2B, SaaS) with local scale and international potential.",VC,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling']",100000,1000000
Magnivia Ventures,http://magnivia.net/,"55 Riverwalk Pl, West New York, New Jersey 07093, US",We invest in cross-border enterprise startups with strong IP doing  $250K+ ARR,VC,"['Early Revenue', 'Scaling', 'Growth']",250000,750000
Java Capital,https://www.javacapital.co/,"Bengaluru, Karnataka 560037, IN",,VC,"['Early Revenue', 'Prototype']",,
GetVantage,https://getvantage.co/,"27th Floor, Sunshine Towers,  Senapati Bagat Marg, Parel,  Mumbai - 400013","We finance SMEs and digital businesses across sectors including SaaS and subscription based, D2C, eCommerce, Cleantech, EV and infrastructure, Edtech, Healthech, HRIS and Payroll/EWA, cloud-kitchen, QSR, etc with at least $8,000 MRR / $100,000 ARR and 12 months of vintage.",Revenue-based,"['Scaling', 'Growth', 'Pre-IPO', 'Early Revenue']",3000,3000000
Better Tomorrow Ventures,http://btv.vc/,"San Francisco, CA, USA",We invest in seed-stage Fintech ,VC,"['Idea or Patent', 'Prototype', 'Early Revenue']",250000,2000000
Foundamental,https://foundamental.com/,"Budapester str 5, 10787, Berlin","We invest in construction-tech, supply chain, logistics, renovation-tech companies globally.",VC,"['Prototype', 'Early Revenue', 'Scaling']",200000,3000000
Agya Ventures,https://agyaventures.com/,"430 Park Avenue, New York, NY 10022, United States of America","We invest in seed, seed extension and Series A staged real estate tech and construction tech companies.",VC,"['Prototype', 'Early Revenue', 'Scaling']",250000,1000000
ZILHive Ventures,https://zilhive.org/ventures/,"12 Marina View, Asia Square Tower, Singapore 01891 ",We invest in Global Blockchain startups with prototypes building on the Zilliqa Blockchain.  ,VC,"['Prototype', 'Early Revenue']",50000,500000
ReGen Ventures,https://regen.vc/,"Byron Bay, NSW, Australia",We invest in regenerative technology companies created by wildly ambitious teams who want to radically transform our world for the better.,VC,"['Idea or Patent', 'Prototype', 'Early Revenue']",250000,2500000
Super Capital VC,https://www.supercapital.vc/,Paris,We invest in tech.,VC,"['Prototype', 'Early Revenue', 'Scaling']",50000,300000
Verso X,https://www.versoholdings.com/versox,British Virgin Islands,"We invest in early-stage game-changing technology companies in angel rounds, series seed and pre-series A. 

VERSO X has a proprietary model for investing:
- $50,000 for 5.00% post-money
- 5x warrants or $250,000
- lead investor in next equity or debt round

VERSO X main selection criteria are:
- visionary yet execution-focused founders
- clear unit economics and business model
- proprietary tech and IP 

VERSO X is ultimately: 
- supportive of founders and their personal success
- focused on increasing support along the way
- engaged to deliver business advisory",VC,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling', 'Growth', 'Pre-IPO']",50000,250000
Element Finance,https://www.elementfinance.com/openvc,"San Antonio, Texas 78205, US","We finance and can lend up to $10M to recurring-revenue-based companies with a good plan, a track record for growth, low customer concentration and churn, and a clean balance sheet.",Revenue-based,"['Scaling', 'Growth', 'Pre-IPO']",200000,10000000
Colle Capital Partners,https://colle.vc,"55 Hudson Yards, New York, NY 10001, United States","We invest in Logistics, Healthcare and FinTech, but remain opportunistic in our approach. 

Colle Capital Partners is a global, opportunistic, early stage technology venture fund. Managers have completed deals in various verticals and across all capital structures. While we tend to gravitate towards Logistics, Healthcare and FinTech, we remain opportunistic in our approach. We pay special attention to data. Virtually all our deals have an intrinsic relationship with data as we believe the ability to isolate, utilize and act upon the best possible information is the foundation of success.

We prefer to step in early in the lifecycle of a company and help teams achieve their goals by assisting with all critical tasks that young startups require. We invest in people. Our mission is to identify and back teams that not only demonstrate intellect and passion but are also agile in their thinking and execution. We seek organizations that operate with a clear focus on sustainability in every dimension: business practices, unit economics and environmental impact.",VC,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling']",500000,2000000
No Such Ventures,https://www.nosuchventures.com,"Mr. Treublaan 3, 1097 DP Amsterdam, Netherlands","We invest in global companies that value our model of combining many high-profile entrepreneurs within one line in the cap table, managed by us.

We disrupt the venture capital landscape, offering flexible deal structures and hassle-free equity investments on a per-deal basis.

Backed by an engaged and ever-growing network of high-profile investors, entrepreneurs and industry experts, No Such Ventures invests €2m to €8m in ambitious growth companies, globally and across sectors.",VC,"['Early Revenue', 'Scaling', 'Growth']",2500000,10000000
Gamerforce Ventures,https://www.gamerforce.vc,Singapore,"We invest in esports, gaming with a primary focus on platforms and software that can scale across leagues, games and teams. Most of our investments tend to have a B2B focus.",VC,"['Early Revenue', 'Scaling']",50000,250000
TRGC,https://trgc.io/,"Blackburn Highway, PO BOX 116, Road Town TorTola, British Virgin Islands",We invest in Blockchain-based startups on a global scale solving critical friction points in the DLT industry.,VC,"['Idea or Patent', 'Prototype', 'Early Revenue']",100000,1000000
Pesu Venture Labs,https://pesuventurelabs.com/#/,"12th Floor CIE Office, B Block PES University, Outer Ring Road, Bengaluru, Karnataka 560085, IN",We invest in B2B SAAS based companies with deeptech as a differentiator with special focus on Student lead startups,Startup studio,['Idea or Patent'],100000,200000
Systema VC,https://systema.vc,London,"We invest in Fintech, Legaltech and HRtech wordlwide",VC,"['Idea or Patent', 'Prototype', 'Early Revenue']",50000,500000
TA Ventures,https://taventures.vc/,"Creative States Arsenal Kyiv, UA","We invest in startups in Europe and North America at (Pre-)Seed and Series A, alongside high-profile co-investors, across a wide range of tech sectors. We prefer sectors such as Enterprise Software, Consumer, Mobility and Digital Health.",VC,"['Idea or Patent', 'Prototype', 'Early Revenue', 'Scaling', 'Growth']",100000,500000
