Startup_name,Stage,Location,Funding_needs,Funding_type,Business_model,Industry_sector,Milestone
ARBIX AI SOLUTIONS PRIVATE LIMITED,"Ranga Reddy, Telangana, India",AI,Prototype,Machine Learning & Data Analytics,?8 L - ?50 L INR,Pre-seed,Prototype Developed
SUS8AIN WORLD VENTURES PRIVATE LIMITED,"Bengaluru Urban, Karnataka, India",Cleantech,Prototype,Sustainable Materials & Recycling,?8 L - ?50 L INR,Pre-seed,Prototype Developed
A1M SERVICES PRIVATE LIMITED,"Ghaziabad, Uttar Pradesh, India",Consumer Internet,EarlyTraction,Lifestyle & E-commerce,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
NOVALEAP SERVICES PRIVATE LIMITED,"Kamrup Metro, Assam, India",EdTech,Prototype,Skill Development & Training,?8 L - ?50 L INR,Angel,Prototype Developed
DRAWTECH INDUSTRIES,"Vadodara, Gujarat, India",B2B Services,Prototype,Business Support & Industrial Supplies,?8 L - ?50 L INR,Angel,Prototype Developed
MEGON TECHNOLOGIES INDIA PRIVATE LIMITED,"Kamrup Metro, Assam, India",TravelTech,EarlyTraction,Facility & Hospitality Management,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
MMI PROJECTS PRIVATE LIMITED,"Sundargarh, Odisha, India",IT Services,Prototype,Project Management & SaaS,?8 L - ?50 L INR,Angel,Prototype Developed
EASYHUMID,"Visakhapatnam, Andhra Pradesh, India",SportsTech,Prototype,Sports Equipment & Wellness,?8 L - ?50 L INR,Angel,Prototype Developed
AYURA ESSENTIALS PRIVATE LIMITED,"Gautam Buddha Nagar, Uttar Pradesh, India",HealthTech,Scaling,Wellness & Ayurvedic Products,?4 Cr - ?80 Cr INR,Series A / Series B,Revenue Growth
DIPTRONICS ENTERPRISES (OPC) PRIVATE LIMITED,"Howrah, West Bengal, India",B2B Services,Prototype,Business Support & Consulting,?8 L - ?50 L INR,Angel,Prototype Developed
UDYAAN LANDSCAPING PRIVATE LIMITED,"Amroha, Uttar Pradesh, India",AgriTech,EarlyTraction,Landscaping & Sustainable Agriculture,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
BLOODTASTY MOTION CRAFTS PRIVATE LIMITED,"Kanchipuram, Tamil Nadu, India",MediaTech,EarlyTraction,Film Production & Digital Media,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
PHIKONNECT SOLUTIONS LLP,"Pune, Maharashtra, India",IT Services,EarlyTraction,Application Development & SaaS,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
S I DONUR CONSTRUCTION COMPANY,"Vijayapura, Karnataka, India",ConTech,Prototype,Construction & Engineering Services,?8 L - ?50 L INR,Angel,Prototype Developed
ARCHBRIDGE CAPITAL PRIVATE LIMITED,"Gurugram, Haryana, India",FinTech,EarlyTraction,Business Finance & Lending Solutions,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
DIVATE FINANCIAL ADVISORS (OPC) PRIVATE LIMITED,"Sangli, Maharashtra, India",FinTech,Scaling,Financial Advisory & Business Support,?4 Cr - ?80 Cr INR,Series A / Series B,Revenue Growth
S R CHICKEN,"Nandyal, Andhra Pradesh, India",FoodTech,Scaling,Food Processing & Poultry,?4 Cr - ?80 Cr INR,Series A / Series B,Revenue Growth
CINESENTINEL PRIVATE LIMITED,"Kollam, Kerala, India",AI,Prototype,Computer Vision & IoT,?8 L - ?50 L INR,Angel,Prototype Developed
EDUQUEST KNOWLEDGE VENTURES LLP,"Medchal Malkajgiri, Telangana, India",EdTech,Prototype,E-learning,?8 L - ?50 L INR,Pre-seed,Prototype Developed
HIMARATNA NATURAL PRODUCTS,"Bengaluru, Karnataka, India",HealthTech,EarlyTraction,Health & Wellness,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
BHASKARTRIVANTA VENTURES PRIVATE LIMITED,"Varanasi, Uttar Pradesh, India",IT Services,EarlyTraction,IT Management,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
MYCITYADSONLINE PRIVATE LIMITED,"Amritsar, Punjab, India",AdTech,EarlyTraction,Online Classifieds,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
YMINDS ARTIFICIAL INTELLIGENCE LLP,"Bengaluru Urban, Karnataka, India",AI,EarlyTraction,Product Development,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
LAINTHA EXPORT IMPORT PRIVATE LIMITED,"Mysuru, Karnataka, India",DeepTech,Prototype,3D Printing,?8 L - ?50 L INR,Pre-seed,Prototype Developed
BROWNIE MEDIA,"Bengaluru Urban, Karnataka, India",AdTech,EarlyTraction,Digital Advertising,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
SUCONTO AACF SERVICES LLP,"Coimbatore, Tamil Nadu, India",Cleantech,EarlyTraction,Sustainable Solutions,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
PURNA GOLD JEWELS PRIVATE LIMITED,"Lucknow, Uttar Pradesh, India",FinTech,Prototype,Personal Finance,?8 L - ?50 L INR,Pre-seed,Prototype Developed
BHARATOMNI TECHNOLOGIES PRIVATE LIMITED,"Vadodara, Gujarat, India",IT Services,EarlyTraction,Product Development,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
ARTHA PLUS PRIVATE LIMITED,"Vadodara, Gujarat, India",FinTech,EarlyTraction,Financial Services,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
WADHERA INDUSTRIES,"Bengaluru Urban, Karnataka, India",EventTech,EarlyTraction,Event Management,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
AEROSAFF FARMS LLP,"Vadodara, Gujarat, India",AgriTech,EarlyTraction,Horticulture,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
NATZAERO TECH PRIVATE LIMITED,"Kozhikode, Kerala, India",Aerospace & Defence,Prototype,Defence Equipment,?8 L - ?50 L INR,Pre-seed,Prototype Developed
REVITA AYURVEDA PRIVATE LIMITED,"Thiruvananthapuram, Kerala, India",HealthTech,EarlyTraction,Health & Wellness,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
RAMVILAS BRUSH WORKS PRIVATE LIMITED,"Mumbai Suburban, Maharashtra, India",AgriTech,Scaling,Agricultural Equipment,?4 Cr - ?80 Cr INR,Series A / Series B,Revenue Growth
JIAWA PRIVATE LIMITED,"Jaipur, Rajasthan, India",Consumer Internet,Prototype,Personal Care Services,?8 L - ?50 L INR,Pre-seed,Prototype Developed
ANANTRIX PRIVATE LIMITED,"Pune, Maharashtra, India",EdTech,Prototype,E-learning Solutions,?8 L - ?50 L INR,Pre-seed,Prototype Developed
VELVET VACATION PRIVATE LIMITED,"Meerut, Uttar Pradesh, India",Consumer Internet,Prototype,Travel & Marketing Services,?8 L - ?50 L INR,Pre-seed,Prototype Developed
NARU TOFU ORGANICS PRIVATE LIMITED,"Bengaluru Urban, Karnataka, India",AgriTech,EarlyTraction,Organic Food Processing,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
DESK TO DINE LINE PRIVATE LIMITED,"Meerut, Uttar Pradesh, India",Consumer Goods,EarlyTraction,Apparel & Accessories,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
PROPELARK TECHNOLOGIES PRIVATE LIMITED,"Bengaluru Urban, Karnataka, India",DeepTech,EarlyTraction,Aerospace and Aviation Technologies,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
AZEINDA AGRI SOLUTION LLP,"Lucknow, Uttar Pradesh, India",AgriTech,Scaling,Agri Supply Chain Solutions,?4 Cr - ?80 Cr INR,Series A / Series B,Revenue Growth
SONAMTECH BUILDCON PRIVATE LIMITED,"Bhagalpur, Bihar, India",InfraTech,Scaling,Construction Materials & Infrastructure Solutions,?4 Cr - ?80 Cr INR,Series A / Series B,Revenue Growth
BAY-QQS EV PRIVATE LIMITED,"Anantnag, Jammu and Kashmir, India",CleanTech,EarlyTraction,Electric Mobility Solutions,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
PARAMHANS PROJECTS PRIVATE LIMITED,"North West Delhi, Delhi, India",InfraTech,EarlyTraction,Construction & Engineering Services,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
SOMIDEEP HEALTHCARE PRIVATE LIMITED,"Bengaluru Urban, Karnataka, India",HealthTech,EarlyTraction,Healthcare Services,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
GHGR SOLUTIONS PRIVATE LIMITED,"Vizianagaram, Andhra Pradesh, India",CleanTech,Prototype,Waste Recycling Solutions,?8 L - ?50 L INR,Pre-seed,Prototype Developed
PhotonSilica,"Budaun, Uttar Pradesh, India",DeepTech,EarlyTraction,Nanomaterials & Photonics,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
ADVANCED FUNCTIONAL MATERIAL TECHNOLOGIES PRIVATE LIMITED,"Chandigarh, Chandigarh, India",DeepTech,EarlyTraction,Advanced Nanomaterials,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
ELSH VENTURES LLP,"Lucknow, Uttar Pradesh, India",Consumer Goods,EarlyTraction,Food & Beverage Products,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
CHRYSALIS CAMPTECH PRIVATE LIMITED,"Surat, Gujarat, India",TravelTech,EarlyTraction,Tourism Services,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
STONEPINE VALLEY LLP,"Chumoukedima, Nagaland, India",TravelTech,EarlyTraction,Hospitality & Accommodation,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
PRAVAHAN ENGINEERING PRIVATE LIMITED,"Chennai, Tamil Nadu, India",DeepTech,Prototype,Robotics Technology,?8 L - ?50 L INR,Angel,Prototype Developed
S L N TECHNOLOGIES,"Medchal Malkajgiri, Telangana, India",AgriTech,Prototype,Agricultural Technology,?8 L - ?50 L INR,Angel,Prototype Developed
MARITERRO FOOD SOLUTIONS PRIVATE LIMITED,"Ernakulam, Kerala, India",FoodTech,EarlyTraction,Food Processing,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
INDUSTRYPRO SOLUTIONS LLP,"Ganganagar, Rajasthan, India",HardwareTech,EarlyTraction,Electronics & Embedded Systems,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
MAKEMYWEBAPP TECH LLP,"Bengaluru Urban, Karnataka, India",IT Services,Prototype,Software Development,?8 L - ?50 L INR,Angel,Prototype Developed
SRIPTO CORPORATION PRIVATE LIMITED,"East Godavari, Andhra Pradesh, India",AI,Prototype,Artificial Intelligence Solutions,?8 L - ?50 L INR,Angel,Prototype Developed
HOUSE OF DHAPI PRIVATE LIMITED,"Jaipur, Rajasthan, India",Consumer Internet,Scaling,Fashion & Apparel,?4 Cr - ?80 Cr INR,Series A / Series B,Revenue Growth
ENERVIBE BEVERAGES PRIVATE LIMITED,"South East Delhi, Delhi, India",FoodTech,Prototype,Beverage Manufacturing,?8 L - ?50 L INR,Angel,Prototype Developed
NEXTKIND LOGIC PRIVATE LIMITED,"Bhopal, Madhya Pradesh, India",IT Services,Prototype,Software Development,?8 L - ?50 L INR,Angel,Prototype Developed
KIRANAPRO SOFTWARE PRIVATE LIMITED,"Thrissur, Kerala, India",RetailTech,EarlyTraction,Retail Technology,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
NAUKARI EXPRESS INDIA (OPC) PRIVATE LIMITED,"North West Delhi, Delhi, India",HRTech,Prototype,Recruitment & Job Platforms,?8 L - ?50 L INR,Angel,Prototype Developed
DAYA SPECIALITY HOSPITAL LLP,"Malappuram, Kerala, India",HealthTech,Prototype,Healthcare Services,?8 L - ?50 L INR,Angel,Prototype Developed
SEVANTA FOODS PRIVATE LIMITED,"Hyderabad, Telangana, India",FoodTech,Prototype,Food Processing,?8 L - ?50 L INR,Angel,Prototype Developed
TECHWISSEN ZONE PRIVATE LIMITED,"Bengaluru Urban, Karnataka, India",EdTech,Prototype,E-Learning Solutions,?8 L - ?50 L INR,Angel,Prototype Developed
MRIDULAS CONSULTANCY SERVICES PRIVATE LIMITED,"Mirzapur, Uttar Pradesh, India",FinTech,Scaling,InsurTech,?4 Cr - ?80 Cr INR,Series A / Series B,Revenue Growth
SURANA DIGITAL (OPC) PRIVATE LIMITED,"Jaipur, Rajasthan, India",AI,EarlyTraction,Machine Learning,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
GET INSPIRED OFFICIAL PRIVATE LIMITED,"Mumbai Suburban, Maharashtra, India",Consumer Internet,Scaling,E-commerce,?4 Cr - ?80 Cr INR,Series A / Series B,Revenue Growth
ENTRA INNOVATIONS LLP,"Dharwad, Karnataka, India",DeepTech,Prototype,Semiconductor,?8 L - ?50 L INR,Pre-seed,Prototype Developed
LEGAL SYNC,"South Delhi, Delhi, India",LegalTech,EarlyTraction,Legal Services,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
CHAITALI ENTERPRISES (OPC) PRIVATE LIMITED,"Raigad, Maharashtra, India",DeepTech,Prototype,Network Technology Solutions,?8 L - ?50 L INR,Pre-seed,Prototype Developed
DIVYANTI DESIGNS LLP,"Gautam Buddha Nagar, Uttar Pradesh, India",Consumer Internet,Prototype,Apparel & Lifestyle,?8 L - ?50 L INR,Pre-seed,Prototype Developed
ROTATUM MECHATRONICS PRIVATE LIMITED,"Hyderabad, Telangana, India",DeepTech,Prototype,Robotics Technology,?8 L - ?50 L INR,Pre-seed,Prototype Developed
ANGKITA FEEDS PRIVATE LIMITED,"Sibsagar, Assam, India",AgriTech,EarlyTraction,Food Processing,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
NEXT GENERATION ENTERPRISES,"Ratlam, Madhya Pradesh, India",ConstructionTech,Prototype,Construction & Engineering,?8 L - ?50 L INR,Pre-seed,Prototype Developed
SHREEJI PROTEINS,"Khargone, Madhya Pradesh, India",AgriTech,Prototype,Food Processing,?8 L - ?50 L INR,Pre-seed,Prototype Developed
KOPPEX LIFE SCIENCES LLP,"Bengaluru Urban, Karnataka, India",HealthTech,EarlyTraction,Biotechnology,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
MIDPILLER MUSIC SERVICES LLP,"Muzaffarnagar, Uttar Pradesh, India",MediaTech,Prototype,Digital Media,?8 L - ?50 L INR,Pre-seed,Prototype Developed
STARDOM BOOKS LLP,"Bengaluru Urban, Karnataka, India",EdTech,EarlyTraction,Publishing & Content Services,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
GLOBEHACK TRIPS PRIVATE LIMITED,"Ernakulam, Kerala, India",TravelTech,Prototype,Travel Services,?8 L - ?50 L INR,Pre-seed,Prototype Developed
GURUKRUPA ENTERPRISE,"Mehsana, Gujarat, India",HRTech,EarlyTraction,Employment Services,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
ECURETRIP HEALTHTECH PRIVATE LIMITED,"Ahmedabad, Gujarat, India",HealthTech,Prototype,Health & Wellness,?8 L - ?50 L INR,Pre-seed,Prototype Developed
ALLER TECHNOLOGIES PRIVATE LIMITED,"Kalaburagi, Karnataka, India",IT Services,Prototype,Web Development,?8 L - ?50 L INR,Pre-seed,Prototype Developed
DAKAH GLOBAL PRIVATE LIMITED,"Faridabad, Haryana, India",FinTech,Prototype,Business Finance,?8 L - ?50 L INR,Pre-seed,Prototype Developed
SHAILIN FARMING SOLUTIONS PRIVATE LIMITED,"Dehradun, Uttarakhand, India",AgriTech,Scaling,Horticulture,?4 Cr - ?80 Cr INR,Series A / Series B,Revenue Growth
IDREAMBIZ PRIVATE LIMITED,"Gautam Buddha Nagar, Uttar Pradesh, India",SaaS,EarlyTraction,Business Productivity Software,?50 L - ?4 Cr INR,Seed / Series A,MVP Launched
