NAME,INVESTOR_TYPE,PREFERRED_STARTUP_STAGES,FOCUS_INDUSTRIES,FOCUS_SECTOR,SERVICE_AREAS,INVESTMENT_RANGE,LOCATION,EXISTENCE_SCORE,TYPE_SCORE,INDUSTRY_SCORE,STAGE_SCORE,RANGE_SCORE,LOCATION_SCORE,OVERALL_SCORE,VERDICT,SOURCES,DATE_ADDED,VERIFIED_BY
Sinarmas Technology,Corporate VC,"Prototype, Early Revenue, Scaling, Growth","Platforms (aggregators, marketplaces), SaaS, DeepTech","B2B / B2C Platforms, Software, Asset-light scalable models","Platform / Marketplace, SaaS, DeepTech",?1.66 Cr - ?83 Cr INR,"Bangalore, Karnataka",0.95 - investor profile found,0.95 - confirmed as Corporate VC,0.95 - focus areas fully confirmed,0.95 - stages confirmed on site,0.95 - USD range matches INR,0.90 - India location confirmed,0.94,VALID,https://www.openvc.app/fund/Sinarmas%20Technology; https://sinarmastechnology.com/; https://tracxn.com/d/corporate-investments/investments-by-sinar-mas/__-BnBKuxJN-wpWSkQIDIJptwkji9jNPYbeC6J4spVyHU,23-10-2025,umika
BimTek Group,Family Office,"Growth, Pre-IPO","Real Estate, Infrastructure, Consumer","Property Development, Infrastructure, Consumer Tech","Real Estate, Infrastructure, Consumer Tech",?83 Cr - ?124.5 Cr INR,"Delhi, India",0.95 - official website found,0.95 - self-identified Single Family Office,0.95 - core sectors fully confirmed,0.95 - growth/pre-IPO confirmed,0.75 - check size is $3M-$20M,0.95 - HQ location confirmed,0.92,VALID,https://bimtek.co.in/; https://www.openvc.app/fund/BimTek%20Group; https://medium.com/@mohitchawla276/about,23-10-2025,umika
Core91 VC,Venture Capital,"Idea or Patent, Prototype, Early Revenue",Enterprise / B2B,"Business Software, Enterprise Tools","SaaS, B2B",?4.15 Cr - ?28.05 Cr INR,"Mumbai, Maharashtra",0.95 - official website found,0.95 - confirmed as VC fund,0.95 - thesis B2B SaaS focus,0.90 - Pre-Seed to Series A focus,0.75 - check size is $100K-$400K USD,0.95 - HQ location confirmed,0.91,VALID,https://core91.vc/; https://pitchbook.com/profiles/investor/455044-15; https://www.zaubacorp.com/CORE91-VC-LLP-AAT-2366,23-10-2025,umika
CreedCap,Family Office,"Early Revenue, Scaling","Consumer, SaaS, CleanTech, HealthTech","Consumer Platforms, CleanTech, HealthTech","Consumer Tech, SaaS, Health / CleanTech",?1.66 Cr - ?12.45 Cr INR,"Bangalore, Karnataka",0.95 - official website found,0.85 - invests private capital for families,0.95 - core sectors fully confirmed,0.95 - focus on early revenue/scaling,0.90 - check size is $200K-$1.5M,0.95 - HQ location confirmed,0.93,VALID,https://www.creedcapasia.com/; https://www.openvc.app/fund/CreedCap; https://tracxn.com/d/investment-bank/creedcap-asia-advisors/__z50kFfX3Y1O-c3H800HDvENXsRUj5j2gARCKTcmvxZs,23-10-2025,umika
Pentathlon Ventures,Venture Capital,Early Revenue,Enterprise / B2B,Enterprise / B2B SaaS,"SaaS, B2B",?2.905 Cr - ?8.3 Cr INR,"Pune, Maharashtra",0.95 - official website found,0.95 - confirmed as B2B SaaS VC,0.95 - B2B SaaS focus confirmed,0.95 - post-validation to Series A focus,0.80 - check size is $350K-$1M USD,0.95 - HQ location confirmed,0.93,VALID,https://pentathlon.vc/; https://www.openvc.app/fund/Pentathlon%20Ventures; https://www.livemint.com/companies/start-ups/pentathlon-ventures-announces-close-of-maiden-fund-at-76-crore-11632291941801.html,23-10-2025,umika
Dheeraj Sidana,Angel,"Idea or Patent, Prototype, Early Revenue","SaaS, Technology",Software / SaaS,"SaaS, Technology",?8.3 L - ?41.5 L INR,"Delhi, India",0.95 - individual profile found,0.95 - self-identified Solo Angel,0.95 - focus SaaS confirmed,0.95 - all early stages confirmed,0.95 - USD range matches INR,0.95 - HQ location confirmed,0.95,VALID,https://www.openvc.app/fund/Dheeraj%20Sidana; https://www.dksidana.com/; https://theorg.com/org/nielsen/org-chart/dheeraj-sidana,23-10-2025,umika
Beams Fintech Fund,Venture Capital,"Scaling, Growth, Pre-IPO","Fintech, SaaS, Financial Inclusion","Embedded Finance, Open Banking, Digital Financial Platforms","Fintech, SaaS",?58.1 Cr - ?99.6 Cr INR,"Mumbai, Maharashtra",0.95 - official website found,0.90 - self-identified Growth-Stage PE/VC,0.95 - focus areas fully confirmed,0.95 - Series B/C/Growth focus,0.95 - check size is $7M-$12M USD,0.95 - HQ location confirmed,0.94,VALID,https://beams.vc/; https://www.openvc.app/fund/Beams%20Fintech%20Fund; https://inc42.com/features/fintech-funding-outlook-remains-cautiously-optimistic-for-fy23-beams-fintech-funds-sagar-agarvwal/,23-10-2025,umika
Venture Catalysts,Incubator / Accelerator,"Early Revenue, Scaling, Growth, Pre-IPO",Sector-agnostic,"Consumer, SaaS, DeepTech, Tech-enabled","Capital, Mentorship, Incubation",?8.3 Cr - ?166 Cr INR,"Mumbai, Maharashtra",0.95 - official website found,0.95 - confirmed Integrated Incubator,"0.85 - nominally sector-agnostic, but diverse focus",0.95 - investment stages fully align,0.80 - check size is $275K-$2M USD,0.95 - HQ location confirmed,0.91,VALID,https://venturecatalysts.in/; https://www.openvc.app/fund/Venture%20Catalysts; https://venturecatalysts.in/invest-in-indian-startups/,23-10-2025,umika
Peaceful Progress,Venture Capital,"Scaling, Growth","Tech, Consumer-driven","Technology, Consumer Internet","Seed Investment, Growth Support",?10.79 Cr - ?33.2 Cr INR,"Chennai, Tamil Nadu",0.95 - official website found,0.85 - identified as Angel Fund/VC,0.95 - tech/consumer focus confirmed,0.95 - focus on early-stage/scaling,0.75 - check size is $133K-$400K USD,0.95 - HQ location confirmed,0.91,VALID,https://www.peacefulprogress.in/; https://www.openvc.app/fund/Peaceful%20Progress; https://yourstory.com/2025/01/early-stage-angel-vc-firm-peaceful-progress-fund-c,23-10-2025,umika
Pi Ventures,Venture Capital,"Seed, Early Traction, Series A","DeepTech, AI, Robotics, Quantum, Biotechnology, Advanced Materials, SpaceTech","AI/ML, Autonomous Robots, Quantum, BioTech, SpaceTech, Advanced Materials","Equity Investment, Strategic Support, DeepTech Founders, Incubation / Acceleration",?41.5 L INR - ?83 L INR,India,0.95 - official website found,0.95 - confirmed as DeepTech VC,0.95 - detailed sectors align exactly,0.95 - Seed/Pre-Series A focus confirmed,0.60 - check size is $250K-$3M USD ManualCheckInstruction:,0.95 - HQ location confirmed,0.89,VALID,,23-10-2025,umika
Reliance Venture Asset Management Ltd.,Corporate VC,"Seed, Early Traction, Growth","Technology, CleanTech, Consumer, Infrastructure, Media / Lifestyle","Semiconductors, Reverse Logistics, Internet & Mobile Platforms","Equity Investment, Strategic Partnerships, Incubation Support",?83 L INR - ?1.25 Cr INR,"Mumbai, Maharashtra",0.80 - historical CVC arm of ADA Group,0.50 - status is 'Out of Business'/'Deadpooled' ManualCheckInstruction:,0.80 - confirmed broad tech/consumer/clean focus,0.85 - invests early to growth stage,0.50 - check size is $200K-$2M USD ManualCheckInstruction:,0.95 - HQ location confirmed,0.74,CHECKED_MANUALLY,,23-10-2025,umika
LVX,Venture Capital,"Seed, Early Traction, Series A, Growth","Fintech, Agritech, EdTech, SaaS, HealthTech, Consumer","Digital Payments, Lending Platforms, Online Learning, Enterprise SaaS, HealthTech, E-commerce","Equity Investment, Angel Syndicates, Venture Debt, Incubation, Acceleration, Founder Education",?83 L - ?25 Cr INR,"Bengaluru, Karnataka",0.95 - company profile found,0.90 - full-stack platform (VC/Angel/Debt),0.95 - multi-sector focus confirmed,0.95 - full lifecycle support confirmed,0.75 - check size is $150K-$2M USD,0.95 - HQ location confirmed,0.91,VALID,https://lvxventures.com/; https://lvxventures.com/grow; https://inc42.com/buzz/letsventure-rebrands-to-lvx-to-back-growth-stage-startups/,23-10-2025,umika
Omnivore Partners,Venture Capital,"Seed, Early Traction, Series A","Agritech, Food Systems, ClimateTech, Rural Economy","AgriTech, FoodTech, Rural Fintech, ClimateTech","Equity Investment, Strategic Guidance, Climate Resilience Initiatives, Rural Development",?83 L - ?4.15 Cr INR,"Mumbai, Maharashtra",0.95 - official website found,0.95 - dedicated Agritech VC fund,0.95 - core sectors fully confirmed,0.95 - Seed/Series A focus confirmed,0.70 - check size is $1M-$5M USD ManualCheckInstruction:,0.95 - HQ location confirmed,0.91,VALID,,23-10-2025,umika
Orange Corp,Corporate VC,"Seed, Early Traction, Growth","AI, Entertainment, Fashion, Food, Information Technology","AI/ML, Film Production, Sustainable Fashion, Food Security, IT Services","Venture Capital, Incubation, Acceleration, Venture Debt, Film Production & Co-Production",From ?4.15 Cr INR,"Mumbai, Maharashtra",0.85 - web presence confirms CVC/incubator,0.85 - claims to be VC/LP/Incubator,0.95 - focus industries clearly listed,0.90 - Seed to Growth focus confirmed,0.70 - one source quotes $100K max ManualCheckInstruction:,0.85 - listed HQ is Mumbai/Delhi,0.85,CHECKED_MANUALLY,,23-10-2025,umika
IAN Fund,Venture Capital,"Early Traction, Series A, Growth","Software, SaaS, Fintech, HealthTech, AI, BioTech, DeepTech, EdTech, AgriTech, SpaceTech","Enterprise SaaS, Fintech, AI/ML, BioTech, DeepTech, EdTech, AgriTech, SpaceTech","Equity Investment, Strategic Guidance, Market Access, Mentorship, Operational Support",?2.5 Cr - ?50 Cr INR,"Delhi, India",0.95 - official website found,0.95 - confirmed as a VC fund,0.95 - all sectors explicitly listed,0.95 - stages confirmed on site,0.90 - check size is $1M-$6M USD,0.95 - HQ location confirmed,0.94,VALID,https://iangroup.vc/about-us/; https://alpha.indianangelnetwork.com/; https://www.openvc.app/fund/IAN%20Fund,23-10-2025,umika
Chiratae Ventures (formerly IDG Ventures India),Venture Capital,"Seed, Early Traction, Series A, Growth","Software, IT & TMT, Media, BioTech, Business Solutions, Fintech, Hardware, CleanTech, HealthTech, Life Sciences","Enterprise SaaS, Digital Consumer, Mobile, Media, Technology-enabled Consumer, MedTech, CleanTech, Cloud","Equity Investment, Strategic Guidance, Market Access, Mentorship, Operational Support",?83 L - ?64.1 Cr INR,"Bengaluru, Karnataka",0.95 - official website confirmed,0.95 - confirmed as a VC fund,0.90 - sector focus is broad (Tech-enabled),0.95 - full early-to-growth stage confirmed,0.75 - seed check is $500K-$2M USD,0.95 - HQ location confirmed,0.91,VALID,https://www.chiratae.com/; https://www.chiratae.com/chiratae-ventures-announces-second-close-of-usd-150-million-for-its-fifth-vc-fund-focused-on-early-stage-startups; https://inc42.com/buzz/chiratae-ventures-marks-second-close-of-fifth-fund-at-150-mn/,23-10-2025,umika
Elevation Capital,Venture Capital,"Seed, Series A, Growth","Fintech, SaaS, Consumer Tech, HealthTech, EdTech, CleanTech, New Materials","Digital Payments, Enterprise SaaS, E-commerce, Online Education, Renewable Energy, BioTech, AgriTech","Equity Investment, Strategic Guidance, Market Access, Mentorship, Operational Support",?8.3 Cr - ?83 Cr INR,"Gurugram, Haryana",0.95 - official website found,0.95 - confirmed as a VC fund,0.95 - all sectors explicitly listed,0.95 - Seed/Series A core focus,0.85 - check size is $2M-$5M USD,0.95 - HQ location confirmed,0.94,VALID,https://elevationcapital.com/pitch; https://elevationcapital.com/growth; https://www.businesstoday.in/entrepreneurship/story/elevation-capital-to-write-larger-early-stage-cheques-with-new-fund-329206-2022-04-08,23-10-2025,umika
Samrat Investments,Corporate VC,"Seed, Early Traction, Growth","Fintech, AI, CleanTech, AgriTech, HealthTech, EdTech","Digital Payments, AI/ML, Renewable Energy, Sustainable Agriculture, BioTech, Online Education","Equity Investment, Strategic Guidance, Market Access, Mentorship, Operational Support",?20 L - ?5 Cr INR,"Manali, Himachal Pradesh",0.50 - generic financial services ManualCheckInstruction:,,0.50 - claims CVC but appears a credit union,0.60 - highly aspirational/broad focus,0.75 - check size matches early seed stage,0.70 - location is highly unusual for CVC,0.68,CHECKED_MANUALLY,https://www.indiamart.com/samrat-investments/aboutus.html; https://www.samratfinancialbanking.com/funding; https://www.youtube.com/watch?v=DtEnjq4-j_A,23-10-2025,umika
Samyakth Capital,Venture Capital,"Early Traction, Prototype","Fintech, SaaS, Consumer Tech, HealthTech, EdTech, CleanTech, New Materials","Digital Payments, Enterprise SaaS, E-commerce, Online Education, Renewable Energy, BioTech, AgriTech","Equity Investment, Debt Financing, Strategic Guidance, Market Access, Mentorship, Operational Support",?20.75 L - ?1.66 Cr INR,"Mumbai, Maharashtra",0.95 - company profile found,0.95 - hybrid VC/Debt fund,0.90 - broad tech focus confirmed,0.85 - seed to Series A stages,0.75 - check size is $300K max USD,0.95 - HQ location confirmed,0.91,VALID,https://yourstory.com/2020/09/vc-samyakth-capital-bids-on-early-stage-fintech-startups; https://pitchbook.com/profiles/investor/229263-85; https://yourstory.com/2020/07/venture-capital-firm-samyakth-capital-rentomojo-coronavirus,23-10-2025,umika
Speciale Invest,Venture Capital,"Idea or Patent, Prototype, Early Traction","DeepTech, AI, SpaceTech, CleanTech, Advanced Manufacturing, Robotics, Semiconductors, Defense","AI/ML Infrastructure, Quantum, Propulsion Tech, Robotics, Rocket Engines, Lithium Tech, Optical Communication, Drones","Equity Investment, Strategic Guidance, Market Access, Mentorship, Operational Support",?7 Cr - ?10 Cr INR,"Bengaluru, Karnataka",0.95 - official website found,0.95 - confirmed as DeepTech VC,0.95 - detailed sectors align exactly,0.95 - pre-seed/seed stage focus,0.95 - check size is $800K-$1.2M USD,0.95 - India-focused confirmed,0.95,VALID,https://www.specialeinvest.com/; https://inc42.com/buzz/speciale-invest-closes-fund-iii-at-inr-600-cr-to-back-deeptech-startups-2; https://www.openvc.app/fund/Speciale%20Invest,23-10-2025,umika
Venture Highway,Venture Capital,"Idea or Patent, Prototype, Early Traction","Fintech, EdTech, HealthTech, SaaS, E-commerce, Social Impact, Human Capital, Marketing, AI, Commerce","Digital Payments, Online Education, HealthTech, Enterprise SaaS, Consumer Internet, Social Platforms, Marketing Automation, AI/ML, B2B SaaS, E-commerce","Equity Investment, Strategic Guidance, Market Access, Mentorship, Operational Support",?1.66 Cr - ?20.75 Cr INR,"New Delhi, Delhi",0.95 - official profile found,0.95 - confirmed as Seed-stage VC,0.95 - focus sectors explicitly listed,0.95 - invests pre-product/early revenue,0.90 - check size is $200K-$2.5M USD,0.95 - HQ location confirmed,0.94,VALID,https://www.openvc.app/fund/Venture%20Highway; https://www.capboard.io/en/investor/venture-highway; https://timesofindia.indiatimes.com/business/india-business/us-based-vc-fund-general-catalyst-acquires-venture-highway-in-india-push/articleshow/111145853.cms,23-10-2025,umika
Tomorrow Capital,Corporate VC,"Seed, Early Traction, Growth","Healthcare, Education, Consumer Tech, Wellness, Fintech, Retail","Dialysis Services, Education, Fertility, Nutrition, Fitness, Digital Payments, E-commerce","Equity Investment, Strategic Guidance, Market Access, Mentorship, Operational Support",?8.3 Cr - ?83 Cr INR,"Mumbai, Maharashtra",0.95 - official website confirmed,0.95 - confirmed as strategic VC fund,0.95 - focus areas fully confirmed,0.95 - early-stage consumer focus,0.90 - check size is $1M-$10M USD,0.95 - HQ location confirmed,0.94,VALID,https://tomorrowcapital.in/; https://tomorrowcapital.in/our-vision.html; https://www.openvc.app/fund/Tomorrow%20Capital,23-10-2025,umika
Emphasis Ventures (EMVC),Venture Capital,"Idea or Patent, Prototype, Early Traction, Scaling","Fintech, Insurtech, SaaS, Enterprise Software, Consumer Tech","Digital Payments, Personal Finance, Enterprise SaaS, Embedded Insurance, Identity Verification, Lending, Embedded Finance","Equity Investment, Strategic Guidance, Market Access, Mentorship, Operational Support",?83 L - ?8.3 Cr INR,"Mumbai, Maharashtra",0.95 - official website confirmed,0.95 - confirmed as Fintech VC,0.95 - deep sector focus fully confirmed,0.95 - invests at all early stages,0.95 - check size is $100K-$1M USD,0.95 - Mumbai office confirmed,0.95,VALID,https://www.em.vc/; https://www.em.vc/emvc-team; https://www.openvc.app/fund/EMVC%20Emphasis%20Ventures,23-10-2025,umika
100X.VC,Venture Capital,"Idea or Patent, Prototype, Early Traction","Fintech, SaaS, DeepTech, Consumer Tech, HealthTech, EdTech, Web3, ClimateTech, Logistics, Enterprise Software","Digital Payments, Lending, InsurTech, Enterprise SaaS, AI/ML, Blockchain, E-commerce, BioTech, RegTech, Consumer/D2C, Logistics Platforms, SaaS Infrastructure","Equity Investment, Strategic Guidance, Market Access, Mentorship, Operational Support",?29.1 L - ?29.1 L INR,"Mumbai, Maharashtra",0.95 - official website found,"0.85 - uses iSAFE note, accelerator model",0.95 - sector agnostic with broad focus,0.95 - invests pre-product/early revenue,0.95 - fixed check size â‚¹1.25 Cr,0.95 - HQ location confirmed,0.94,VALID,https://www.100x.vc/; https://www.100x.vc/press-releases/100-x-vc-invests-usd-2-7-mn-in-18-startups-as-part-of-class-12; https://www.forbesindia.com/article/take-one-big-story-of-the-day/how-100xvc-takes-startups-from-zero-to-one-and-beyond/74991/1,23-10-2025,umika
100Unicorns,Venture Capital,"Idea or Patent, Prototype, EarlyTraction, Scaling","Fintech, SaaS, DeepTech, Consumer Tech, HealthTech, EdTech, Web3, ClimateTech, Logistics, Enterprise Software","Digital Payments, Lending, InsurTech, B2B SaaS, AI, Blockchain, E-commerce, BioTech, RegTech, D2C Brands, Logistics Platforms, SaaS Infrastructure","Equity Investment, Strategic Guidance, Market Access, Mentorship, Operational Support",?2.5 Cr - ?16.6 Cr INR,"Mumbai, Maharashtra",0.95 - official website found,0.95 - confirmed Accelerator VC/Fund,0.95 - sector agnostic with broad focus,0.95 - all early stages confirmed on site,0.85 - check size is $300K-$2M USD,0.95 - HQ location confirmed,0.94,VALID,https://www.100unicorns.in/; https://www.openvc.app/fund/100X.VC; https://www.indiaretailing.com/2024/05/15/100unicorns-launches-200-mn-fund-plans-to-deploy-it-in-5-5-yrs,23-10-2025,umika
Rajat Parikh,Angel,"Idea or Patent, Prototype, EarlyTraction","Web3, Analytics, Data Integrations","Blockchain Infrastructure, Decentralized Finance (DeFi), Data Analytics, Enterprise Software, SaaS","Equity Investment, Strategic Guidance, Market Access, Mentorship, Operational Support",?8.3 L - ?4.15 Cr INR,India,0.95 - individual profile found,0.95 - self-identified Solo Angel,0.95 - deep sector focus confirmed,0.95 - all early stages confirmed,0.95 - check size is $1K-$500K USD,0.95 - India-based confirmed,0.95,VALID,https://www.openvc.app/fund/Rajat%20Parikh,23-10-2025,umika
Titan Capital,Family Office,"Idea or Patent, Prototype, EarlyTraction","Fintech, SaaS, Consumer Tech, HealthTech, EdTech, D2C, AI, DeepTech, DefenceTech","Digital Payments, Enterprise SaaS, E-commerce, Online Education, BioTech, Consumer Brands, AI Infrastructure, Cybersecurity, Aerospace, Advanced Manufacturing","Equity Investment, Strategic Guidance, Market Access, Mentorship, Operational Support",?2.49 Cr - ?4.15 Cr INR,"Gurugram, Haryana",0.95 - official website found,0.95 - confirmed founder-led Family Office,0.95 - all sectors explicitly listed,0.95 - first check at pre-seed/seed,0.90 - check size is $300K-$500K USD,0.95 - HQ location confirmed,0.94,VALID,https://www.titancapital.vc/; https://www.openvc.app/fund/Titan%20Capital; https://entrackr.com/snippets/titan-capital-launches-investment-vertical-to-back-indian-defence-tech-startups-9190427,23-10-2025,umika
